level_3rd,skill_type,tags
.NET,后端框架,.NET Core|_|.NET MVC|_|ASP.NET|_|ASP.NET MVC|_|EF|_|WPF|_|Winform
.NET,技术类型,AJAX|_|Socket技术|_|分布式技术|_|多线程|_|多进程|_|数据结构|_|网络协议|_|网络编程
.NET,数据库类型,MongoDB|_|MySQL|_|Oracle|_|SQL Server|_|SQLite
.NET,计算机语言方向,C#|_|F#|_|HTML|_|Java|_|SQL|_|VB|_|VB.NET
.NET,软件开发工具,DevExpress|_|Framework|_|RabbitMQ|_|Visual Studio
.NET,运维工具,Docker|_|Kubernetes
.net培训讲师,授课方式,一对一授课|_|线上授课|_|线下授课|_|集体授课
.net培训讲师,教师类型,助教|_|培训师|_|教研
3D设计师,设计职能,游戏主美|_|美术设计师|_|设计主管|_|设计师|_|设计师助理|_|设计总监|_|设计经理
3D设计师,设计软件,3D MAX|_|AE|_|C4D|_|CAD|_|MAYA|_|Painter|_|PhotoShop|_|Premiere|_|SAI|_|Spine|_|U3D
4S店管理,品牌类型,合资品牌|_|新势力品牌|_|自主品牌|_|豪华品牌
4S店管理,岗位职级,总监|_|总经理|_|经理
4s店店长-维修站长,汽车服务职能,二手车评估|_|抛光打蜡|_|汽车喷漆|_|汽车改装|_|汽车救援|_|汽车检测|_|汽车维修|_|汽车美容|_|汽车贴膜|_|试乘/试驾|_|车辆上牌过户|_|车辆定损|_|车辆运营管理|_|配件仓库管理
5G,计算机语言方向,C++|_|C语言|_|汇编语言
5G,通信工作内容,信令分析|_|信号处理|_|宽带装维|_|网络维护
5G,通信工作方向,4G|_|5G|_|传输线路设计|_|天线设计|_|室分设计|_|无线通信|_|移动通信
AE经理,硬件工作方向,DSP开发|_|PCB设计|_|电路设计
AE经理,硬件工具,AD|_|Cadence|_|PADS|_|Protel
AE经理,设计软件,CAD
AI产品经理,产品方向,B端产品|_|C端产品
AI产品经理,人工智能方向,AI机器人|_|AI芯片|_|智能医疗|_|智能家居|_|智能汽车|_|智能穿戴|_|机器学习类AI|_|视觉类AI|_|语义类AI|_|语音类AI
APP推广,市场工作内容,活动策划
APP推广,市场工作方向,市场开发|_|海外市场推广
APP推广,市场推广方式,新媒体推广|_|渠道推广|_|线上推广
APP推广,市场推广渠道,360渠道|_|微博平台|_|搜狗渠道|_|百度渠道
APP设计,Android框架,Dagger|_|EventBus|_|Fresco|_|Glide|_|GreenDAO|_|Jetpack|_|OkHttp|_|Retrofit|_|RxAndroid|_|RxJava
APP设计,iOS框架,AFNetWorking|_|Alamofire|_|Cocoa|_|Cocos|_|Cocos2d-x|_|Core Data|_|Core animation|_|Foundation|_|Kingfisher|_|Masonry|_|ReactiveCocoa|_|RxSwift|_|SDWebImage|_|Snapkit|_|SwiftUI|_|UIKit
APP设计,开发方向,Android开发|_|Hybrid开发|_|U3D开发|_|iOS开发|_|小程序开发|_|应用开发|_|性能优化|_|架构设计|_|游戏开发|_|系统开发|_|跨平台开发|_|逆向开发|_|音视频开发
APP设计,技术方向,MVC|_|MVVM|_|TCP/IP|_|多线程|_|数据结构|_|流媒体|_|消息队列|_|算法基础|_|音视频编解码
APP设计,编程语言,C#|_|C++|_|CSS|_|C语言|_|Groovy|_|HTML|_|HTML5|_|Java|_|JavaScript|_|Kotlin|_|Objective-C|_|Swift
APP设计,跨平台框架,Flutter|_|React Native|_|Weex
APP设计,项目领域,OA软件|_|云计算|_|人工智能|_|即时通讯|_|地图定位|_|摄像头|_|物联网|_|移动支付|_|蓝牙|_|视频直播|_|车联网
ARM开发,硬件工作方向,Layout设计|_|PCB设计|_|嵌入式硬件开发|_|嵌入式软件开发
ARM开发,硬件工具,AD|_|PADS
ARM开发,计算机语言方向,C++|_|C语言
ARM开发,设计软件,CAD
ARM开发,驱动开发方向,底层驱动|_|网络驱动|_|驱动移植
Android-安卓,技术类型,Hybrid开发|_|React Native开发|_|Socket技术|_|内存管理|_|多线程|_|性能调优|_|数据结构
Android-安卓,移动端框架,Flutter|_|Glide|_|MVC|_|MVP|_|MVVM|_|OkHttp|_|Retrofit|_|Rxjava
Android-安卓,计算机语言方向,C|_|C++|_|Java|_|Kotlin
Android-安卓,软件开发工具,Android NDK|_|Android SDK|_|Android Studio|_|Android UI|_|Eclipse|_|Framework|_|Gradle|_|Maven|_|SDK|_|SVN
Android-安卓,软件开发方向,公众号开发|_|小程序开发
Android培训讲师,授课方式,一对一授课|_|线上授课|_|线下授课|_|集体授课
Android培训讲师,教师类型,助教|_|培训师|_|教研
BD商务拓展,媒介渠道类型,KOL|_|传统媒体|_|电商媒介|_|网络媒体
BD商务拓展,市场工作内容,媒介策划|_|媒体资源拓展|_|广告投放
BD商务拓展,广告类型,印刷广告|_|媒体广告|_|户外广告|_|新媒体广告|_|游戏广告|_|网络广告|_|视听广告
BD经理,销售方式,代理商销售|_|区域销售|_|大客户销售|_|渠道销售|_|电话销售|_|面销
BD经理,销售行业属性,OTC销售|_|保健品销售|_|快消品销售|_|房屋租赁|_|新车销售|_|汽车销售|_|理财销售|_|贵金属销售|_|酒水销售|_|食品销售
BI,Hadoop组件/工具,Flume|_|Hadoop|_|Hbase|_|Kafka|_|Spark|_|Storm
BI,技术工作内容,商业数据分析|_|大数据分析|_|数据中台|_|数据建模|_|数据建模|_|数据架构|_|数据监控|_|数据集市|_|模型设计|_|舆情分析|_|舆情分析|_|行业分析|_|行业分析
BI,数据分析工具,ECharts|_|Excel|_|Matlab|_|Matplotlib|_|Minitab|_|NumPy|_|Pandas|_|Power BI|_|SAS|_|SPSS|_|Tableau
BI,数据分析方法,决策树|_|参数检验|_|回归分析|_|因子分析|_|多元统计分析|_|方差分析|_|神经网络|_|聚类分析|_|非参数检验
BI,数据库类型,Oracle|_|SQL Server
BI,数据职能,ETL|_|商业分析|_|商业分析|_|数据仓库|_|数据分析|_|数据挖掘|_|数据挖掘|_|数据采集|_|数据采集
BI,计算机语言方向,Python|_|Python|_|R语言|_|R语言|_|SQL|_|SQL
BIM工程师,BIM方向,建筑BIM|_|机电BIM|_|结构BIM|_|给排水BIM
BIM工程师,地产业态,产业地产|_|住宅地产|_|办公地产|_|商业地产|_|工业地产|_|文旅地产|_|旧改项目|_|海外地产|_|综合体|_|酒店公寓
BIM工程师,建筑工程职能,路桥工程师|_|隧道工程师
BIM工程师,建筑类型,公共建筑|_|农业建筑|_|历史建筑|_|智能建筑|_|绿色建筑|_|装配式建筑|_|高层建筑
BIM工程师,建筑设计职能,建筑结构设计师|_|钢结构设计师
BIM工程师,建筑软件,ArchiCAD|_|DIALux|_|Navisworks|_|PKPM|_|Revit|_|Tekla|_|品茗|_|天正|_|广联达|_|斯维尔|_|神机妙算|_|鲁班
BIM工程师,设计软件,AFES|_|CAD
BIM工程师,资格证书,一级建造师|_|一级注册建筑师|_|一级注册消防工程师|_|一级注册结构工程师|_|一级造价工程师|_|二级建造师|_|二级注册建筑师|_|二级注册消防工程师|_|二级注册结构工程师|_|二级造价工程师|_|安全员资格证|_|建（构）筑物消防员|_|施工员证|_|注册城乡规划师|_|注册监理工程师|_|资料员职业资格证
B超医生,医生工作内容,B超检查|_|四维筛查|_|妇科彩超|_|彩超检查|_|心脏超声|_|腹部超声|_|血管超声
B超医生,医生护士职称,助理医师证|_|执业医师证
C#,后端框架,.NET MVC|_|ASP.NET|_|ASP.NET MVC|_|WPF|_|Winform
C#,技术类型,Socket技术|_|多线程|_|多进程|_|网络协议|_|网络编程
C#,数据库类型,MySQL|_|Oracle|_|SQL Server
C#,系统类型,Linux|_|Windows
C#,计算机语言方向,C++|_|CSS|_|JavaScript|_|Python|_|SQL|_|VB
C#,软件开发工具,DevExpress|_|Visual Studio
C#,软件开发方向,.NET开发|_|后端开发|_|游戏开发
C++,后端框架,MFC|_|QT
C++,技术工作内容,图像处理|_|嵌入式开发|_|架构设计
C++,技术类型,Socket技术|_|分布式技术|_|多线程|_|多进程|_|数据结构|_|流媒体技术|_|消息队列|_|网络协议|_|网络编程|_|音视频编解码
C++,数据库类型,MySQL|_|Oracle|_|SQL Server
C++,硬件工作方向,ARM开发|_|驱动开发
C++,系统类型,FreeRTOS|_|Linux|_|RT-Thread|_|RTOS|_|UCOS|_|Unix|_|Windows|_|嵌入式Linux
C++,计算机语言方向,C/C++|_|Golang|_|Lua|_|Python|_|SQL|_|Shell
C++,软件开发工具,ActiveX|_|CUDA|_|Cmake|_|Makefile|_|OpenCV|_|OpenGL|_|STL|_|SVN|_|WinDbg
C++,软件开发方向,客户端开发|_|服务端开发|_|游戏开发|_|逆向开发
C++,运维工具,Docker|_|Kubernetes
CAD设计-制图,室内设计方向,全屋定制设计|_|硬装设计|_|空间设计
CAD设计-制图,硬件工作方向,电路设计
CAD设计-制图,设计方向,CAD绘图
CAD设计-制图,设计职能,设计主管|_|设计师|_|设计师助理|_|设计总监|_|设计经理
CAD设计-制图,设计软件,AE|_|CAD|_|JewelCAD|_|MAYA|_|PhotoShop|_|Premiere|_|ProE|_|Spine|_|三维家|_|酷家乐
CBO,公关方向,危机公关|_|品牌公关|_|媒体公关|_|政府公关|_|舆情公关
CFO,财务管理方向,债务重组|_|并购管理|_|成本管理|_|融资管理|_|财务管理|_|资本运作|_|资金管理|_|预算管理
CFO,财务软件,Oracle|_|SAP|_|新中大|_|浪潮通软|_|用友|_|畅捷通|_|管家婆|_|速达|_|金算盘|_|金蝶
CFO,资格证书,ACCA|_|CIA|_|CMA|_|CPA|_|中级审计师|_|中级经济师|_|初级经济师|_|高级审计师
CIO,技术管理方向,事业部管理|_|产品管理|_|信息安全管理|_|技术决策|_|技术管理|_|测试管理|_|研发团队管理|_|系统搭建|_|系统架构|_|软硬件管理|_|运维管理
CMO,CMO方向,医疗CMO|_|医美CMO|_|品牌CMO|_|影视CMO|_|海外CMO|_|渠道CMO|_|游戏CMO|_|知识产权CMO|_|金融CMO
CMO,市场工作内容,内容营销|_|市场信息收集|_|市场数据分析
CMO,市场工作方向,市场开发|_|市场招商|_|市场推广|_|市场策划|_|市场营销|_|海外市场推广
CNC-数控,机械加工工艺,装配工艺
CNC-数控,设计软件,AutoCAD|_|CAD
CNC-数控,语言方向,英语
CNC-数控,钻床类型,数控钻床
COCOS2DX,计算机语言方向,C|_|C++|_|Java|_|Lua|_|Python|_|TypeScript
COCOS2DX,软件开发工具,Android Studio|_|CocoStudio|_|CocosBuilder|_|CocosCreator|_|LayaBox|_|OpenGL|_|Xcode
COCOS2DX,软件开发方向,前端开发|_|手游开发|_|游戏前端开发|_|游戏客户端开发|_|游戏开发
COO,业务运营方向,B端运营|_|C端运营|_|产品运营|_|内容运营|_|商家运营|_|整体运营|_|活动运营|_|渠道运营|_|电商运营|_|直播运营|_|社区运营|_|社群运营|_|运营战略规划|_|运营部门管理
COO,数据运营方向,数据运营
COO,电商运营方向,品类运营
COO,线下运营方向,校区运营|_|门店运营
COO,运营职责,数据分析
CTO,前端框架,Angular|_|Bootstrap|_|React
CTO,技术工作内容,事业部管理|_|产品管理|_|技术决策|_|技术管理|_|测试管理|_|研发团队管理|_|系统搭建|_|系统架构|_|运维管理
大模型算法,AI算法方向,广告算法|_|推荐算法|_|搜索算法|_|视频算法|_|语音算法
大模型算法,AI算法类型,Boosting|_|CNN|_|DNN|_|GBDT|_|LR|_|LambdaMART|_|RNN/LSTM|_|SVM|_|Seq2Seq|_|协同过滤|_|强化学习|_|数据建模|_|文本挖掘|_|朴素贝叶斯|_|逻辑回归
大模型算法,NLP任务类型,句法分析|_|实体识别|_|情感分析|_|文本分类|_|智能客服|_|机器翻译|_|机器阅读理解|_|知识图谱|_|篇章分析|_|聊天机器人|_|语义分析|_|语义角色标注
大模型算法,深度学习框架,Caffe|_|Keras|_|MXNet|_|PyTorch|_|TensorFlow|_|Theano
大模型算法,计算机语言方向,C++|_|golang|_|python
Cocos,计算机语言方向,C|_|C++|_|Java|_|Lua|_|Python|_|TypeScript
Cocos,软件开发工具,Android Studio|_|CocoStudio|_|CocosBuilder|_|CocosCreator|_|LayaBox|_|OpenGL|_|Xcode
Cocos,软件开发方向,前端开发|_|手游开发|_|游戏前端开发|_|游戏客户端开发|_|游戏开发
C语言-C开发,后端框架,MFC|_|QT
C语言-C开发,技术工作内容,图像处理|_|嵌入式开发|_|架构设计
C语言-C开发,技术类型,Socket技术|_|分布式技术|_|多线程|_|多进程|_|数据结构|_|流媒体技术|_|消息队列|_|网络协议|_|网络编程|_|音视频编解码
C语言-C开发,数据库类型,MySQL|_|Oracle|_|SQL Server
C语言-C开发,硬件工作方向,ARM开发|_|驱动开发
C语言-C开发,系统类型,FreeRTOS|_|Linux|_|RT-Thread|_|RTOS|_|UCOS|_|Unix|_|Windows|_|嵌入式Linux
